loss,fidelity
0.10315611,0.91184014
0.11045165,0.9086701
0.07001955,0.95194745
0.04511288,0.9770402
0.052156102,0.9764248
0.046224233,0.9822761
0.035464816,0.986426
0.03678629,0.98629
0.04552659,0.9845214
0.03462927,0.9886575
0.037329074,0.9885559
0.031508446,0.98988205
0.03722291,0.98836875
0.032734383,0.9905227
0.036799964,0.9886374
0.035029314,0.98980623
0.03156727,0.99089724
0.040765475,0.98905754
0.04612379,0.98437613
0.036057077,0.9889563
0.035793196,0.9903324
0.030579153,0.99163485
0.03185815,0.99082094
0.03287894,0.9916933
0.038699582,0.98854053
0.03062419,0.99201137
0.031638734,0.99127316
0.035592157,0.9906037
0.030086089,0.99196666
0.03053903,0.99203455
0.03627651,0.98919266
0.03313624,0.99121064
0.037671234,0.9891752
0.03816919,0.99065554
0.03158299,0.9915034
0.035020083,0.99074054
0.036327682,0.9895999
0.042267367,0.9879916
0.035898346,0.99100375
0.03478585,0.99086636
0.04653935,0.98368347
0.029138353,0.99238205
0.029160265,0.9924629
0.031908963,0.9914785
0.042445257,0.98923326
0.041200493,0.99001664
0.03032612,0.99225426
0.032146905,0.9912341
0.035242233,0.99112195
0.03644764,0.9884971
0.04090237,0.98761785
0.03491032,0.9900082
0.035427652,0.9904838
0.031220749,0.9921259
0.033034835,0.9919387
0.031650554,0.99175674
0.030873673,0.9915998
0.032569937,0.99127364
0.03929385,0.98923165
0.032223534,0.9922143
0.03551404,0.9919099
0.044141695,0.98993826
0.034687534,0.98950917
0.03127918,0.992117
0.04090755,0.99045193
0.035124864,0.9917636
0.031416003,0.9917939
0.031720378,0.9916991
0.03232082,0.9921617
0.03153367,0.99216545
0.04494611,0.9849268
0.03789781,0.99102
0.030255834,0.9922445
0.031795684,0.9920442
0.029054387,0.9925454
0.03663818,0.99190056
0.03798304,0.9908979
0.034337036,0.9906236
0.03487549,0.99129385
0.038176417,0.9909725
0.046579473,0.98645884
0.044717334,0.9899349
0.031580016,0.99162185
0.031744692,0.992024
0.03154579,0.99212056
0.030032953,0.99229246
0.031812347,0.99175966
0.036608126,0.9898127
0.03432754,0.9915442
0.036729187,0.99043477
0.030498328,0.99217093
0.043149304,0.98950815
0.03178692,0.99199295
0.03208902,0.9917459
0.036406558,0.98910177
0.032338712,0.9914443
0.04071221,0.99002254
0.036448922,0.9906759
0.035091855,0.9917784
0.03771324,0.9878476
0.039059896,0.9892548
0.033251338,0.991135
0.038493507,0.99094355
0.030220944,0.99230385
0.031587552,0.9918083
0.03418197,0.9907672
0.031661328,0.9918092
0.031070746,0.9922715
0.03165322,0.99215955
0.031271033,0.9923649
0.030008284,0.9923828
0.0338276,0.9915033
0.032341342,0.9922436
0.03742572,0.989842
0.035315808,0.991257
0.040141474,0.9889254
0.03710638,0.9909635
0.02947639,0.9922063
0.03388316,0.9918757
0.038698386,0.99086726
0.038720224,0.9905533
0.039070517,0.9884807
0.037014283,0.991505
0.030287301,0.9922034
0.032049917,0.9914909
0.0335169,0.99095285
0.035526857,0.99138886
0.0355621,0.99079007
0.041511502,0.9903967
0.03572965,0.9908496
0.03610822,0.989324
0.03732121,0.99034953
0.02988806,0.9919584
0.031053169,0.99188435
0.032990474,0.99122787
0.030703163,0.99226654
0.032098055,0.9918914
0.038070742,0.9912408
0.038577083,0.9892019
0.03303814,0.9908915
0.029272165,0.9924795
0.043168057,0.98854864
0.032811884,0.9903466
0.04428366,0.98430467
0.033043828,0.9907125
0.03041358,0.9922919
0.038436387,0.99031204
0.031582892,0.991837
0.034507442,0.99137795
0.039842907,0.99085706
0.03796078,0.99114376
0.039584924,0.99061763
0.03429164,0.99089336
0.041268155,0.9905445
0.03166609,0.9916593
0.03374508,0.9907307
0.03785017,0.99006975
0.038576182,0.98849744
0.030743882,0.9920364
0.042325355,0.9876871
0.029365465,0.9921555
0.036485933,0.9905295
0.046720054,0.9851262
0.029249856,0.9925192
0.039683394,0.9886725
0.047148027,0.98880845
0.039244596,0.99108356
0.035933405,0.9906446
0.037566707,0.9897888
0.039282586,0.99099797
0.03572857,0.9910503
0.03457581,0.9904524
0.031020526,0.9915476
0.03868708,0.990864
0.04528725,0.98711956
0.031105695,0.9916206
0.030729357,0.99217635
0.036488857,0.9888318
0.032524005,0.9905313
0.04420216,0.9878826
0.03320669,0.9915104
0.032536592,0.9916478
0.03735516,0.98955697
0.040327035,0.98982114
0.034864735,0.990701
0.046089076,0.984758
0.04169611,0.99001193
0.031942174,0.99167186
0.032701556,0.9916664
0.03217412,0.9915162
0.04201028,0.98733705
0.03064882,0.99215394
0.03183808,0.9907422
0.03513601,0.9913783
0.034565985,0.9905988
0.036950637,0.9909293
0.03921095,0.99072343
0.034426592,0.9909264
0.033535007,0.991509
0.047782555,0.9858477
0.032771733,0.9917288
0.03487945,0.9913486
0.0379899,0.9882285
0.03178306,0.99187297
0.036180913,0.99138767
0.03856312,0.99083155
0.047479864,0.9885318
0.046021305,0.9886671
0.030954245,0.9916078
0.034468517,0.99147654
0.040352024,0.9910861
0.032134287,0.9917222
0.043726034,0.9882068
0.03747595,0.99027675
0.034998182,0.9900475
0.0340301,0.990678
0.04857245,0.9887167
0.036992285,0.9907862
0.035462674,0.991507
0.03434431,0.9909987
0.04589821,0.986487
0.036736965,0.9896817
0.037312515,0.9904355
0.03889616,0.989633
0.031107876,0.9913413
0.033872403,0.9909082
0.034276467,0.99048465
0.03953276,0.99039745
0.031081768,0.99197006
0.03387541,0.99131966
0.036746606,0.99066746
0.037563045,0.9890251
0.037880998,0.9906112
0.048219543,0.9884464
0.033615865,0.99118096
0.033835895,0.9911996
0.030078257,0.99202013
0.042181805,0.98954797
0.035174716,0.9895146
0.038082205,0.9900894
0.039551806,0.98794365
0.030552913,0.9919245
0.035174597,0.9904116
0.03324381,0.99166965
0.05432381,0.986515
0.039662674,0.98992455
0.034723394,0.991304
0.044834606,0.9879911
0.032659195,0.9911838
0.040438443,0.9906554
0.034507554,0.9908827
0.033051543,0.9904133
0.033812925,0.9915139
0.0375038,0.9895011
0.031265207,0.99208045
0.031631544,0.99188954
0.038861252,0.9890533
0.03183764,0.99186206
0.030963529,0.99114984
0.033825316,0.99166083
0.03542076,0.99168026
0.036361795,0.9903616
0.03668177,0.990387
0.037280757,0.9911163
0.03195678,0.9913822
0.03288221,0.99149275
0.03043795,0.99230415
0.044124883,0.988551
0.041159377,0.9908077
0.036268536,0.989737
0.040981367,0.98994714
0.034124136,0.9891527
0.036351364,0.9892821
0.034980603,0.9908888
0.039513502,0.98926854
0.03200713,0.9909661
0.040264696,0.9869695
0.029416671,0.9922273
0.04142755,0.990153
