a2,â2,b2,b̂2,Fidelity
0.0763,0.107,0.389,0.381,0.99914396
-0.146,-0.156,-0.649,-0.643,0.99990565
0.16,0.166,-0.374,-0.379,0.99992704
0.114,0.134,0.404,0.409,0.9996185
0.809,0.756,-0.545,-0.598,0.9972369
