loss,fidelity
0.10997948,0.95929605
0.10374413,0.9631125
0.10683172,0.96240586
0.105958916,0.95783097
0.10155451,0.9659465
0.10100278,0.9664341
0.097684085,0.9666363
0.10095991,0.9671187
0.104444645,0.95448077
0.09691906,0.9700274
0.098245844,0.9691414
0.09894953,0.9646261
0.096067905,0.9694276
0.09692296,0.96896005
0.10193081,0.96779716
0.09540499,0.97056156
0.09461065,0.9690986
0.09526695,0.9680368
0.09483683,0.969569
0.10019425,0.96088815
0.095264256,0.9701775
0.094580695,0.9719149
0.09635126,0.9658888
0.09400078,0.970376
0.0960501,0.97131413
0.09855935,0.9699075
0.09618515,0.97035366
0.09488029,0.9718305
0.092984594,0.9707659
0.09514694,0.9699339
0.09426052,0.971574
0.09352133,0.9718562
0.094088055,0.97132313
0.09291654,0.9691649
0.09232601,0.9706482
0.09339836,0.96981037
0.094205655,0.9678865
0.092928335,0.96992224
0.09485173,0.97139585
0.094275825,0.97179496
0.09463428,0.9687792
0.09521104,0.971457
0.09200112,0.9729274
0.09006001,0.97421277
0.09095178,0.9740409
0.09342017,0.97272915
0.09005358,0.9731509
0.09131095,0.9737742
0.0898326,0.97427076
0.0928242,0.96819246
0.091836914,0.9731319
0.09013962,0.9730256
0.09075803,0.9713119
0.0908568,0.97335947
0.08903297,0.9749671
0.088676095,0.9745526
0.09305176,0.9731019
0.08893742,0.9740014
0.08906133,0.97506464
0.08921138,0.97462916
0.08889487,0.9749329
0.09050378,0.97407657
0.08828459,0.97471756
0.087861106,0.9754732
0.08990118,0.97419024
0.08978432,0.9742662
0.09115692,0.9736564
0.08997371,0.9732292
0.089753814,0.97447205
0.0897958,0.9730965
0.0886963,0.9746097
0.08789175,0.97503537
0.089843966,0.9738161
0.0886705,0.97378474
0.08788682,0.97439146
0.08681591,0.97506803
0.08917809,0.9749394
0.08748666,0.97491443
0.0881538,0.9746283
0.08748459,0.9742713
0.08667926,0.97556275
0.0870421,0.9750906
0.08701246,0.97553384
0.08921366,0.97217774
0.08854716,0.9748329
0.086608544,0.97419703
0.08625343,0.97573096
0.08719517,0.97587425
0.08582874,0.97629267
0.08545486,0.97608685
0.08470045,0.9760702
0.085693456,0.9761837
0.08603003,0.97604704
0.08936747,0.97469115
0.08551745,0.9753528
0.086049624,0.97549635
0.085628256,0.9747738
0.08752859,0.97487
0.08460937,0.9764342
0.08394335,0.9764957
